unit_id,shift,supplier_offspec_batch,fault_A_active,fault_B_active,fault_C_active,defect,defect_source_station
60,Day,False,False,False,False,False,
61,Day,False,False,False,False,False,
62,Day,False,False,False,False,False,
63,Day,False,False,False,False,False,
64,Day,False,False,False,False,False,
65,Day,False,False,False,False,False,
66,Day,False,False,False,False,False,
67,Day,False,False,False,False,False,
68,Day,False,False,False,False,False,
69,Day,False,False,False,False,False,
70,Day,False,False,False,False,False,
71,Day,False,False,False,False,False,
72,Day,False,False,False,False,False,
73,Day,False,False,False,False,False,
74,Day,False,False,False,False,False,
75,Day,False,False,False,False,False,
76,Day,False,False,False,False,False,
77,Day,False,False,False,False,False,
78,Day,False,False,False,False,False,
79,Day,False,False,False,False,False,
80,Day,False,False,False,False,False,
81,Day,False,False,False,False,False,
82,Day,False,False,False,False,False,
83,Day,False,False,False,False,False,
84,Day,False,False,False,False,False,
85,Day,False,False,False,False,False,
86,Day,False,False,False,False,False,
87,Day,False,False,False,False,False,
88,Day,False,False,False,False,False,
89,Day,False,False,False,False,False,
90,Day,False,False,False,False,False,
91,Day,False,False,False,False,False,
92,Day,False,False,False,False,False,
93,Day,False,False,False,False,False,
94,Day,False,False,False,False,False,
95,Day,False,False,False,False,False,
96,Day,False,False,False,False,False,
97,Day,False,False,False,False,False,
98,Day,False,False,False,False,False,
99,Day,False,False,False,False,False,
100,Day,False,False,False,False,False,
101,Day,False,False,False,False,False,
102,Day,False,False,False,False,False,
103,Day,False,False,False,False,False,
104,Day,False,False,False,False,False,
105,Day,False,False,False,False,False,
106,Day,False,False,False,False,False,
107,Day,False,False,False,False,False,
108,Day,False,False,False,False,False,
109,Day,False,False,False,False,False,
110,Day,False,False,False,False,False,
111,Day,False,False,False,False,False,
112,Day,False,False,False,False,False,
113,Day,False,False,False,False,False,
114,Day,False,False,False,False,False,
115,Day,False,False,False,False,False,
116,Day,False,False,False,False,False,
117,Day,False,False,False,False,False,
118,Day,False,False,False,False,False,
119,Day,False,False,False,False,False,
120,Day,False,False,False,False,False,
121,Day,False,False,False,False,False,
122,Day,False,False,False,False,False,
123,Day,False,False,False,False,False,
124,Day,False,False,False,False,False,
125,Day,False,False,False,False,False,
126,Day,False,False,False,False,False,
127,Day,False,False,False,False,False,
128,Day,False,False,False,False,False,
129,Day,False,False,False,False,False,
130,Day,False,False,False,False,False,
131,Day,False,False,False,False,False,
132,Day,False,False,False,False,False,
133,Day,False,False,False,False,False,
134,Day,False,False,False,False,False,
135,Day,False,False,False,False,False,
136,Day,False,False,False,False,False,
137,Day,False,False,False,False,False,
138,Day,False,False,False,False,False,
139,Day,False,False,False,False,False,
140,Day,False,False,False,False,False,
141,Day,False,False,False,False,False,
142,Day,False,False,False,False,False,
143,Day,False,False,False,False,False,
144,Day,False,False,False,False,False,
145,Day,False,False,False,False,False,
146,Day,False,False,False,False,False,
147,Day,False,False,False,False,False,
148,Day,False,False,False,False,False,
149,Day,False,False,False,False,False,
150,Day,False,False,False,False,False,
151,Day,False,False,False,False,False,
152,Day,False,False,False,False,False,
153,Day,False,False,False,False,False,
154,Day,False,False,False,False,False,
155,Day,False,False,False,False,False,
156,Day,False,False,False,False,False,
157,Day,False,False,False,False,False,
158,Day,False,False,False,False,False,
159,Day,False,False,False,False,False,
160,Day,False,False,False,False,False,
161,Day,False,False,False,False,False,
162,Day,False,False,False,False,False,
163,Day,False,False,False,False,False,
164,Day,False,False,False,False,False,
165,Day,False,False,False,False,False,
166,Day,False,False,False,False,False,
167,Day,False,False,False,False,False,
168,Day,False,False,False,False,False,
169,Day,False,False,False,False,False,
170,Day,False,False,False,False,False,
171,Day,False,False,False,False,False,
172,Day,False,False,False,False,False,
173,Day,False,False,False,False,False,
174,Day,False,False,False,False,False,
175,Day,False,False,False,False,False,
176,Day,False,False,False,False,False,
177,Day,False,False,False,False,False,
178,Day,False,False,False,False,False,
179,Day,False,False,False,False,False,
180,Day,False,False,False,False,False,
181,Day,False,False,False,False,False,
182,Day,False,False,False,False,False,
183,Day,False,False,False,False,False,
184,Day,False,False,False,False,False,
185,Day,False,False,False,False,False,
186,Day,False,False,False,False,False,
187,Day,False,False,False,False,False,
188,Day,False,False,False,False,False,
189,Day,False,False,False,False,False,
190,Day,False,False,False,False,False,
191,Day,False,False,False,False,False,
192,Day,False,False,False,False,False,
193,Day,False,False,False,False,False,
194,Day,False,False,False,False,False,
195,Day,False,False,False,False,False,
196,Day,False,False,False,False,False,
197,Day,False,False,False,False,False,
198,Day,False,False,False,False,False,
199,Day,False,False,False,False,False,
200,Day,False,False,False,False,False,
201,Day,False,False,False,False,False,
202,Day,False,False,False,False,False,
203,Day,False,False,False,False,False,
204,Day,False,False,False,False,False,
205,Day,False,False,False,False,False,
206,Day,False,False,False,False,False,
207,Day,False,False,False,False,False,
208,Day,False,False,False,False,False,
209,Day,False,False,False,False,False,
210,Day,False,False,False,False,False,
211,Day,False,False,False,False,False,
212,Day,False,False,False,False,False,
213,Day,False,False,False,False,False,
214,Day,False,False,False,False,False,
215,Day,False,False,False,False,False,
216,Day,False,False,False,False,False,
217,Day,False,False,False,False,False,
218,Day,False,False,False,False,False,
219,Day,False,False,False,False,False,
220,Day,False,False,False,False,False,
221,Day,False,False,False,False,False,
222,Day,False,False,False,False,False,
223,Day,False,False,False,False,False,
224,Day,False,False,False,False,False,
225,Day,False,False,False,False,False,
226,Day,False,False,False,False,False,
227,Day,False,False,False,False,False,
228,Day,False,False,False,False,False,
229,Day,False,False,False,False,False,
230,Day,False,False,False,False,False,
231,Day,False,False,False,False,False,
232,Day,False,False,False,False,False,
233,Day,False,False,False,False,False,
234,Day,False,False,False,False,False,
235,Day,False,False,False,False,False,
236,Day,False,False,False,False,False,
237,Day,False,False,False,False,False,
238,Day,False,False,False,False,False,
239,Day,False,False,False,False,False,
240,Day,True,False,False,False,False,
241,Day,True,False,False,False,False,
242,Day,True,False,False,False,False,
243,Day,True,False,False,False,False,
244,Day,True,False,False,False,False,
245,Day,True,False,False,False,False,
246,Day,True,False,False,False,False,
247,Day,True,False,False,False,False,
248,Day,True,False,False,False,False,
249,Day,True,False,False,False,False,
250,Night,True,False,False,False,False,
251,Night,True,False,False,False,False,
252,Night,True,False,False,False,False,
253,Night,True,False,False,False,False,
254,Night,True,False,False,False,False,
255,Night,True,False,False,False,False,
256,Night,True,False,False,False,False,
257,Night,True,False,False,False,False,
258,Night,True,False,False,False,False,
259,Night,True,False,False,False,False,
260,Night,True,False,False,False,False,
261,Night,True,False,False,False,False,
262,Night,True,False,False,False,False,
263,Night,True,False,False,False,False,
264,Night,True,False,False,False,False,
265,Night,True,False,True,False,True,7.0
266,Night,True,False,True,False,True,7.0
267,Night,True,False,True,False,True,7.0
268,Night,True,False,True,False,True,7.0
269,Night,True,False,False,False,False,
270,Night,True,False,False,False,False,
271,Night,True,False,False,False,False,
272,Night,True,False,False,False,False,
273,Night,True,False,False,False,False,
274,Night,True,False,False,False,False,
275,Night,True,False,False,False,False,
276,Night,True,False,False,False,False,
277,Night,True,False,False,False,False,
278,Night,True,False,False,False,False,
279,Night,True,False,False,False,False,
280,Night,False,False,False,False,False,
281,Night,False,False,False,False,False,
282,Night,False,False,False,False,False,
283,Night,False,False,False,False,False,
284,Night,False,False,False,False,False,
285,Night,False,False,False,False,False,
286,Night,False,False,False,False,False,
287,Night,False,False,False,False,False,
288,Night,False,False,False,False,False,
289,Night,False,False,False,False,False,
290,Night,False,False,False,False,False,
291,Night,False,False,False,False,False,
292,Night,False,False,False,False,False,
293,Night,False,False,False,False,False,
294,Night,False,False,False,False,False,
295,Night,False,False,False,False,False,
296,Night,False,False,False,False,False,
297,Night,False,False,False,False,False,
298,Night,False,False,False,False,False,
299,Night,False,False,False,False,False,
300,Night,False,False,False,False,False,
301,Night,False,False,False,False,False,
302,Night,False,False,False,False,False,
303,Night,False,False,False,False,False,
304,Night,False,False,False,False,False,
305,Night,False,False,False,False,False,
306,Night,False,False,False,False,False,
307,Night,False,False,False,False,False,
308,Night,False,False,False,False,False,
309,Night,False,False,False,False,False,
310,Night,False,False,False,False,False,
311,Night,False,False,False,False,False,
312,Night,False,False,False,False,False,
313,Night,False,False,False,False,False,
314,Night,False,False,False,False,False,
315,Night,False,False,False,False,False,
316,Night,False,False,False,False,False,
317,Night,False,False,False,False,False,
318,Night,False,False,False,False,False,
319,Night,False,False,False,False,False,
320,Night,False,False,False,False,False,
321,Night,False,False,False,False,False,
322,Night,False,False,False,False,False,
323,Night,False,False,False,False,False,
324,Night,False,False,False,False,False,
325,Night,False,False,False,False,False,
326,Night,False,False,False,False,False,
327,Night,False,False,False,False,False,
328,Night,False,False,False,False,False,
329,Night,False,False,False,False,False,
330,Night,False,False,False,False,False,
331,Night,False,False,False,False,False,
332,Night,False,False,False,False,False,
333,Night,False,False,False,False,False,
334,Night,False,False,False,False,False,
335,Night,False,False,False,False,False,
336,Night,False,False,False,False,False,
337,Night,False,False,False,False,False,
338,Night,False,False,False,False,False,
339,Night,False,False,False,False,False,
340,Night,False,False,False,False,False,
341,Night,False,False,False,False,False,
342,Night,False,False,False,False,False,
343,Night,False,False,False,False,False,
344,Night,False,False,False,False,False,
345,Night,False,False,False,False,False,
346,Night,False,False,False,False,False,
347,Night,False,False,False,False,False,
348,Night,False,False,False,False,False,
349,Night,False,False,False,False,False,
350,Night,False,False,False,False,False,
351,Night,False,False,False,False,False,
352,Night,False,False,False,False,False,
353,Night,False,False,False,False,False,
354,Night,False,False,False,False,False,
355,Night,False,False,False,False,False,
356,Night,False,False,False,False,False,
357,Night,False,False,False,False,False,
358,Night,False,False,False,False,False,
359,Night,False,False,False,False,False,
360,Night,False,False,False,False,False,
361,Night,False,False,False,False,False,
362,Night,False,False,False,False,False,
363,Night,False,False,False,False,False,
364,Night,False,False,False,False,False,
365,Night,False,False,False,False,False,
366,Night,False,False,False,False,False,
367,Night,False,False,False,False,False,
368,Night,False,False,False,True,True,13.0
369,Night,False,False,False,False,False,
370,Night,False,False,False,False,False,
371,Night,False,False,False,False,False,
372,Night,False,False,False,False,False,
373,Night,False,False,False,False,False,
374,Night,False,False,False,False,False,
375,Night,False,False,False,False,False,
376,Night,False,False,False,False,False,
377,Night,False,False,False,False,False,
378,Night,False,False,False,False,False,
379,Night,False,False,False,False,False,
380,Night,False,False,False,False,False,
381,Night,False,False,False,False,False,
382,Night,False,False,False,False,False,
383,Night,False,False,False,False,False,
384,Night,False,False,False,False,False,
385,Night,False,False,False,False,False,
386,Night,False,False,False,False,False,
387,Night,False,False,False,False,False,
388,Night,False,False,False,False,False,
389,Night,False,False,False,False,False,
390,Night,False,False,False,False,False,
391,Night,False,False,False,False,False,
392,Night,False,False,False,False,False,
393,Night,False,False,False,False,False,
394,Night,False,False,False,False,False,
395,Night,False,False,False,False,False,
396,Night,False,False,False,False,False,
397,Night,False,False,False,False,False,
398,Night,False,False,False,False,False,
399,Night,False,False,False,False,False,
400,Night,False,False,False,False,False,
401,Night,False,False,False,False,False,
402,Night,False,False,False,False,False,
403,Night,False,False,False,False,False,
404,Night,False,False,False,False,False,
405,Night,False,False,False,False,False,
406,Night,False,False,False,False,False,
407,Night,False,False,False,False,False,
408,Night,False,False,False,False,False,
409,Night,False,False,False,False,False,
410,Night,False,False,False,False,False,
411,Night,False,False,False,False,False,
412,Night,False,False,False,False,False,
413,Night,False,False,False,False,False,
414,Night,False,False,False,False,False,
415,Night,False,False,False,False,False,
416,Night,False,False,False,False,False,
417,Night,False,False,False,False,False,
418,Night,False,False,False,False,False,
419,Night,False,False,False,False,False,
420,Night,False,False,False,False,False,
421,Night,False,False,False,False,False,
422,Night,False,False,False,False,False,
423,Night,False,False,False,False,False,
424,Night,False,False,False,False,False,
425,Night,False,False,False,False,False,
426,Night,False,False,False,False,False,
427,Night,False,False,False,False,False,
428,Night,False,False,False,False,False,
429,Night,False,False,False,False,False,
430,Night,False,False,False,False,False,
431,Night,False,False,False,False,False,
432,Night,False,False,False,False,False,
433,Night,False,False,False,False,False,
434,Night,False,False,False,False,False,
435,Night,False,False,False,False,False,
436,Night,False,False,False,False,False,
437,Night,False,False,False,False,False,
438,Night,False,False,False,False,False,
439,Night,False,False,False,True,True,13.0
440,Night,False,False,False,False,False,
441,Night,False,False,False,False,False,
442,Night,False,False,False,False,False,
443,Night,False,False,False,False,False,
444,Night,False,False,False,False,False,
445,Night,False,False,False,False,False,
446,Night,False,False,False,False,False,
447,Night,False,False,False,False,False,
448,Night,False,False,False,False,False,
449,Night,False,False,False,False,False,
450,Night,False,False,False,False,False,
451,Night,False,False,False,False,False,
452,Night,False,False,False,False,False,
453,Night,False,False,False,False,False,
454,Night,False,False,False,False,False,
455,Night,False,False,False,False,False,
456,Night,False,False,False,False,False,
457,Night,False,False,False,False,False,
458,Night,False,False,False,False,False,
459,Night,False,False,False,False,False,
460,Night,False,False,False,False,False,
461,Night,False,False,False,False,False,
462,Night,False,False,False,False,False,
463,Night,False,False,False,False,False,
464,Night,False,False,False,False,False,
465,Night,False,False,False,False,False,
466,Night,False,False,False,False,False,
467,Night,False,False,False,False,False,
468,Night,False,False,False,False,False,
469,Night,False,False,False,False,False,
470,Night,False,False,False,False,False,
471,Night,False,False,False,False,False,
472,Night,False,False,False,False,False,
473,Night,False,False,False,False,False,
474,Night,False,False,False,False,False,
475,Night,False,False,False,False,False,
476,Night,False,False,False,False,False,
477,Night,False,False,True,False,True,7.0
478,Night,False,False,False,False,False,
479,Night,False,False,False,False,False,
480,Night,False,False,True,False,True,7.0
481,Night,False,False,False,False,False,
482,Night,False,False,False,False,False,
483,Night,False,False,False,False,False,
484,Night,False,False,False,False,False,
485,Night,False,False,False,False,False,
486,Night,False,False,False,False,False,
487,Night,False,False,False,False,False,
488,Night,False,False,False,False,False,
489,Night,False,False,False,False,False,
490,Night,False,False,False,False,False,
491,Night,False,False,False,False,False,
492,Night,False,False,False,False,False,
493,Night,False,False,False,False,False,
494,Night,False,False,False,False,False,
495,Night,False,False,False,False,False,
496,Night,False,False,False,False,False,
497,Night,False,False,False,False,False,
498,Night,False,False,False,False,False,
499,Night,False,False,False,False,False,
500,Day,False,False,False,False,False,
501,Day,False,False,False,False,False,
502,Day,False,False,False,False,False,
503,Day,False,False,False,False,False,
504,Day,False,False,False,False,False,
505,Day,False,False,False,False,False,
506,Day,False,False,False,False,False,
507,Day,False,False,False,False,False,
508,Day,False,False,False,False,False,
509,Day,False,False,False,False,False,
510,Day,False,False,False,False,False,
511,Day,False,False,False,False,False,
512,Day,False,False,False,False,False,
513,Day,False,False,False,False,False,
514,Day,False,False,False,False,False,
515,Day,False,False,False,False,False,
516,Day,False,False,False,False,False,
517,Day,False,False,False,False,False,
518,Day,False,False,False,False,False,
519,Day,False,False,False,False,False,
520,Day,False,False,False,False,False,
521,Day,False,False,False,False,False,
522,Day,False,False,False,False,False,
523,Day,False,False,False,False,False,
524,Day,False,False,False,False,False,
525,Day,False,False,False,False,False,
526,Day,False,False,False,False,False,
527,Day,False,False,False,False,False,
528,Day,False,False,False,False,False,
529,Day,False,False,False,False,False,
530,Day,False,False,False,False,False,
531,Day,False,False,True,False,True,7.0
532,Day,False,False,False,False,False,
533,Day,False,False,False,False,False,
534,Day,False,False,False,False,False,
535,Day,False,False,False,False,False,
536,Day,False,False,False,False,False,
537,Day,False,False,False,False,False,
538,Day,False,False,False,False,False,
539,Day,False,False,False,False,False,
540,Day,False,False,False,False,False,
541,Day,False,False,False,False,False,
542,Day,False,False,False,False,False,
543,Day,False,False,False,False,False,
544,Day,False,False,False,False,False,
545,Day,False,False,False,False,False,
546,Day,False,False,False,False,False,
547,Day,False,False,False,False,False,
548,Day,False,False,False,False,False,
549,Day,False,False,False,False,False,
550,Day,False,False,False,False,False,
551,Day,False,False,False,False,False,
552,Day,False,False,False,False,False,
553,Day,False,False,False,False,False,
554,Day,False,False,False,False,False,
555,Day,False,False,False,False,False,
556,Day,False,False,False,False,False,
557,Day,False,False,False,False,False,
558,Day,False,False,False,False,False,
559,Day,False,False,False,False,False,
560,Day,False,False,False,False,False,
561,Day,False,False,False,False,False,
562,Day,False,False,False,False,False,
563,Day,False,False,False,False,False,
564,Day,False,False,False,False,False,
565,Day,False,False,False,False,False,
566,Day,False,False,False,False,False,
567,Day,False,False,False,False,False,
568,Day,False,False,False,False,False,
569,Day,False,False,False,False,False,
570,Day,False,False,False,False,False,
571,Day,False,False,False,False,False,
572,Day,False,False,False,False,False,
573,Day,False,False,False,False,False,
574,Day,False,False,False,False,False,
575,Day,False,False,False,False,False,
576,Day,False,False,False,False,False,
577,Day,False,False,False,False,False,
578,Day,False,False,False,False,False,
579,Day,False,False,False,False,False,
580,Day,False,False,False,False,False,
581,Day,False,False,False,False,False,
582,Day,False,False,False,False,False,
583,Day,False,False,False,False,False,
584,Day,False,False,False,False,False,
585,Day,False,False,False,False,False,
586,Day,False,False,True,False,True,7.0
587,Day,False,False,False,False,False,
588,Day,False,False,False,False,False,
589,Day,False,False,False,False,False,
590,Day,False,False,False,False,False,
591,Day,False,False,False,False,False,
592,Day,False,False,False,False,False,
593,Day,False,False,False,False,False,
594,Day,False,False,False,False,False,
595,Day,False,False,False,False,False,
596,Day,False,False,False,False,False,
597,Day,False,False,False,False,False,
598,Day,False,False,False,False,False,
599,Day,False,False,False,False,False,
600,Day,False,False,False,False,False,
601,Day,False,False,False,False,False,
602,Day,False,False,False,False,False,
603,Day,False,False,False,False,False,
604,Day,False,False,False,False,False,
605,Day,False,False,False,False,False,
606,Day,False,False,False,False,False,
607,Day,False,False,False,False,False,
608,Day,False,False,False,False,False,
609,Day,False,False,False,False,False,
610,Day,False,False,False,False,False,
611,Day,False,False,False,False,False,
612,Day,False,False,False,False,False,
613,Day,False,False,False,False,False,
614,Day,False,False,False,False,False,
615,Day,False,False,False,False,False,
616,Day,False,False,False,False,False,
617,Day,False,False,False,False,False,
618,Day,False,False,False,False,False,
619,Day,False,False,False,False,False,
620,Day,False,False,False,False,False,
621,Day,False,False,False,False,False,
622,Day,False,False,False,False,False,
623,Day,False,False,False,False,False,
624,Day,False,False,False,False,False,
625,Day,False,False,False,False,False,
626,Day,False,False,False,False,False,
627,Day,False,False,False,False,False,
628,Day,False,False,False,False,False,
629,Day,False,False,False,False,False,
630,Day,False,False,False,False,False,
631,Day,False,False,False,False,False,
632,Day,False,False,False,False,False,
633,Day,False,False,False,False,False,
634,Day,False,False,False,False,False,
635,Day,False,False,False,False,False,
636,Day,False,False,False,False,False,
637,Day,False,False,False,False,False,
638,Day,False,False,False,False,False,
639,Day,False,False,False,False,False,
640,Day,False,False,False,False,False,
641,Day,False,False,False,False,False,
642,Day,False,False,False,False,False,
643,Day,False,False,False,False,False,
644,Day,False,False,False,False,False,
645,Day,False,False,False,False,False,
646,Day,False,False,False,False,False,
647,Day,False,False,False,False,False,
648,Day,False,False,False,False,False,
649,Day,False,False,False,False,False,
650,Day,False,False,False,False,False,
651,Day,False,False,False,False,False,
652,Day,False,False,False,False,False,
653,Day,False,False,False,False,False,
654,Day,False,False,False,False,False,
655,Day,False,False,False,False,False,
656,Day,False,False,False,False,False,
657,Day,False,False,False,False,False,
658,Day,False,False,False,False,False,
659,Day,False,False,False,False,False,
660,Day,False,False,False,False,False,
661,Day,False,False,False,False,False,
662,Day,False,False,False,False,False,
663,Day,False,False,False,False,False,
664,Day,False,False,False,False,False,
665,Day,False,False,False,False,False,
666,Day,False,False,False,False,False,
667,Day,False,False,False,False,False,
668,Day,False,False,False,False,False,
669,Day,False,False,False,False,False,
670,Day,False,False,False,False,False,
671,Day,False,False,False,False,False,
672,Day,False,False,False,False,False,
673,Day,False,False,False,False,False,
674,Day,False,False,False,False,False,
675,Day,False,False,False,False,False,
676,Day,False,False,False,False,False,
677,Day,False,False,False,False,False,
678,Day,False,False,False,False,False,
679,Day,False,False,False,False,False,
680,Day,False,False,False,False,False,
681,Day,False,False,False,False,False,
682,Day,False,False,False,False,False,
683,Day,False,False,False,False,False,
684,Day,False,False,False,False,False,
685,Day,False,False,False,False,False,
686,Day,False,False,False,False,False,
687,Day,False,False,False,False,False,
688,Day,False,False,False,False,False,
689,Day,False,False,False,False,False,
690,Day,False,False,False,False,False,
691,Day,False,False,False,False,False,
692,Day,False,False,False,False,False,
693,Day,False,False,False,False,False,
694,Day,False,False,False,False,False,
695,Day,False,False,False,False,False,
696,Day,False,False,False,False,False,
697,Day,False,False,False,False,False,
698,Day,False,False,False,False,False,
699,Day,False,False,False,False,False,
700,Day,False,False,False,False,False,
701,Day,False,False,False,False,False,
702,Day,False,False,False,False,False,
703,Day,False,False,False,False,False,
704,Day,False,False,False,False,False,
705,Day,False,False,False,False,False,
706,Day,False,False,False,False,False,
707,Day,False,False,False,False,False,
708,Day,False,False,False,False,False,
709,Day,False,False,False,False,False,
710,Day,False,False,False,False,False,
711,Day,False,False,False,False,False,
712,Day,False,False,False,False,False,
713,Day,False,False,False,False,False,
714,Day,False,False,False,False,False,
715,Day,False,False,False,False,False,
716,Day,False,False,False,False,False,
717,Day,False,False,False,False,False,
718,Day,False,False,False,False,False,
719,Day,False,False,False,False,False,
720,Day,False,False,False,False,False,
721,Day,False,False,False,False,False,
722,Day,False,False,False,False,False,
723,Day,False,False,False,False,False,
724,Day,False,False,False,False,False,
725,Day,False,False,False,False,False,
726,Day,False,False,False,False,False,
727,Day,False,False,False,False,False,
728,Day,False,False,False,False,False,
729,Day,False,False,False,False,False,
730,Day,False,False,False,False,False,
731,Day,False,False,False,False,False,
732,Day,False,False,False,False,False,
733,Day,False,False,False,False,False,
734,Day,False,False,False,False,False,
735,Day,False,False,False,False,False,
736,Day,False,False,False,False,False,
737,Day,False,False,False,False,False,
738,Day,False,False,False,False,False,
739,Day,False,False,False,False,False,
740,Day,False,False,False,False,False,
741,Day,False,False,False,False,False,
742,Day,False,False,False,False,False,
743,Day,False,False,False,False,False,
744,Day,False,False,False,False,False,
745,Day,False,False,False,False,False,
746,Day,False,False,False,False,False,
747,Day,False,False,False,False,False,
748,Day,False,False,False,False,False,
749,Day,False,False,False,False,False,
750,Night,False,False,False,False,False,
751,Night,False,False,False,False,False,
752,Night,False,False,False,False,False,
753,Night,False,False,False,False,False,
754,Night,False,False,False,False,False,
755,Night,False,False,False,False,False,
756,Night,False,False,False,False,False,
757,Night,False,False,False,False,False,
758,Night,False,False,False,False,False,
759,Night,False,False,False,True,True,13.0
760,Night,False,False,False,False,False,
761,Night,False,False,False,False,False,
762,Night,False,False,False,False,False,
763,Night,False,False,False,False,False,
764,Night,False,False,False,False,False,
765,Night,False,False,False,False,False,
766,Night,False,False,False,False,False,
767,Night,False,False,False,False,False,
768,Night,False,False,False,False,False,
769,Night,False,False,False,False,False,
770,Night,False,False,False,False,False,
771,Night,False,False,False,False,False,
772,Night,False,False,False,False,False,
773,Night,False,False,False,False,False,
774,Night,False,False,False,False,False,
775,Night,False,False,False,False,False,
776,Night,False,False,False,False,False,
777,Night,False,False,False,False,False,
778,Night,False,False,False,False,False,
779,Night,False,False,False,False,False,
780,Night,False,False,False,False,False,
781,Night,False,False,False,False,False,
782,Night,False,False,False,False,False,
783,Night,False,False,False,False,False,
784,Night,False,False,False,False,False,
785,Night,False,False,False,False,False,
786,Night,False,False,False,False,False,
787,Night,False,False,False,False,False,
788,Night,False,False,False,False,False,
789,Night,False,False,False,False,False,
790,Night,False,False,False,False,False,
791,Night,False,False,False,False,False,
792,Night,False,False,False,False,False,
793,Night,False,False,False,False,False,
794,Night,False,False,False,False,False,
795,Night,False,False,False,False,False,
796,Night,False,False,False,False,False,
797,Night,False,False,False,False,False,
798,Night,False,False,False,False,False,
799,Night,False,False,False,False,False,
800,Night,False,False,False,False,False,
801,Night,False,False,False,False,False,
802,Night,False,False,False,False,False,
803,Night,False,False,False,False,False,
804,Night,False,False,False,False,False,
805,Night,False,False,False,False,False,
806,Night,False,False,False,False,False,
807,Night,False,False,False,False,False,
808,Night,False,False,False,False,False,
809,Night,False,False,False,False,False,
810,Night,False,False,False,False,False,
811,Night,False,False,False,False,False,
812,Night,False,False,False,False,False,
813,Night,False,False,False,False,False,
814,Night,False,False,False,False,False,
815,Night,False,False,False,False,False,
816,Night,False,False,False,False,False,
817,Night,False,False,False,False,False,
818,Night,False,False,False,False,False,
819,Night,False,False,False,False,False,
820,Night,False,False,False,False,False,
821,Night,False,False,False,False,False,
822,Night,False,False,False,False,False,
823,Night,False,False,False,False,False,
824,Night,False,False,False,False,False,
825,Night,False,False,False,False,False,
826,Night,False,False,False,False,False,
827,Night,False,False,False,False,False,
828,Night,False,False,False,False,False,
829,Night,False,False,False,False,False,
830,Night,False,False,False,False,False,
831,Night,False,False,False,False,False,
832,Night,False,False,False,False,False,
833,Night,False,False,False,False,False,
834,Night,False,False,False,False,False,
835,Night,False,False,False,False,False,
836,Night,False,False,False,False,False,
837,Night,False,False,False,False,False,
838,Night,False,False,False,False,False,
839,Night,False,False,False,False,False,
840,Night,False,False,False,False,False,
841,Night,False,False,False,False,False,
842,Night,False,False,False,False,False,
843,Night,False,False,False,False,False,
844,Night,False,False,False,False,False,
845,Night,False,False,False,False,False,
846,Night,False,False,False,False,False,
847,Night,False,False,False,False,False,
848,Night,False,False,False,False,False,
849,Night,False,False,False,False,False,
850,Night,False,False,False,False,False,
851,Night,False,False,False,False,False,
852,Night,False,False,False,False,False,
853,Night,False,False,False,False,False,
854,Night,False,False,False,False,False,
855,Night,False,False,False,False,False,
856,Night,False,False,False,True,True,13.0
857,Night,False,False,False,False,False,
858,Night,False,False,False,False,False,
859,Night,False,False,False,False,False,
860,Night,False,False,False,False,False,
861,Night,False,False,False,False,False,
862,Night,False,False,False,False,False,
863,Night,False,False,False,False,False,
864,Night,False,False,False,False,False,
865,Night,False,False,False,False,False,
866,Night,False,False,False,False,False,
