unit_id,station_id,station_name,zone,tier,shift,vibration,torque,temperature,cycle_time,checklist_pass
1,26,Cockpit Marriage,Final Assembly,rich,Day,0.833,40.01,23.82,52.79,
1,27,Powertrain Marriage,Final Assembly,rich,Day,0.735,38.71,24.79,52.84,
1,28,Wheel & Tire Mount,Final Assembly,rich,Day,0.774,40.54,24.68,52.19,
1,29,Interior Trim 1,Final Assembly,basic,Day,,,,50.83,
1,30,Interior Trim Fit Check,Final Assembly,manual,Day,,,,53.0,True
1,31,Glass Install,Final Assembly,rich,Day,0.988,39.96,24.03,50.3,
1,32,Seat Install,Final Assembly,basic,Day,,,,52.05,
1,33,Fluid Fill,Final Assembly,rich,Day,0.835,39.77,23.47,54.15,
1,34,Wheel Alignment,Final Assembly,rich,Day,1.06,39.19,24.14,51.24,
1,35,Headlamp Aim,Final Assembly,rich,Day,0.847,39.19,24.3,53.3,
1,36,Electrical Function Test,Final Assembly,rich,Day,0.882,40.04,24.56,52.83,
1,37,Door/Panel Gap Scan,Final Assembly,rich,Day,0.946,39.1,23.34,54.54,
1,38,Water Leak Test,Final Assembly,rich,Day,1.016,39.77,24.26,55.01,
1,39,Road Simulation Test,Final Assembly,rich,Day,1.0,41.47,23.78,54.72,
1,40,Final Inspection & Buyoff,Final Assembly,rich,Day,0.75,41.38,24.24,56.0,
2,1,Underbody Framing,Body Construction,rich,Day,1.078,38.17,23.19,60.53,
2,2,Side Panel Load,Body Construction,rich,Day,0.778,39.98,24.4,58.56,
2,3,Robotic Weld Cell A,Body Construction,rich,Day,0.647,40.41,24.02,53.98,
2,4,Robotic Weld Cell B,Body Construction,rich,Day,0.905,38.62,23.27,56.58,
2,5,Roof Bow Fit,Body Construction,rich,Day,0.783,37.37,24.24,56.73,
2,6,Door Hang,Body Construction,rich,Day,0.949,38.42,23.68,56.93,
2,7,Bolt Fastening Torque,Body Construction,rich,Day,0.923,44.02,23.62,55.18,
2,8,Geometry Check,Body Construction,rich,Day,0.941,43.24,23.33,57.7,
2,9,Robotic Weld Cell C,Body Construction,rich,Day,0.889,39.98,23.3,58.69,
2,10,Sealer Application,Body Construction,rich,Day,0.989,39.87,24.04,56.18,
2,11,Body Squareness Gauge,Body Construction,basic,Day,,,,56.5,
2,12,Weld Arm Bearing Station,Body Construction,rich,Day,0.67,38.89,23.05,59.18,
2,13,Panel Fit Inspection,Body Construction,manual,Day,,,,50.99,True
2,14,Hem Flange Press,Body Construction,basic,Day,,,,59.52,
2,15,Body-in-White Buyoff,Body Construction,manual,Day,,,,57.13,True
2,16,Pretreatment Dip,Paint,basic,Day,,,168.73,60.64,
2,17,E-Coat Bath,Paint,rich,Day,0.906,,164.82,62.88,
2,18,Sealer Booth,Paint,manual,Day,,,,62.64,True
2,19,Primer Booth,Paint,rich,Day,0.926,,161.56,63.69,
2,20,Basecoat Robot,Paint,rich,Day,0.818,,168.61,63.6,
2,21,Clearcoat Robot,Paint,rich,Day,0.883,,164.98,59.97,
2,22,Flash-Off Tunnel,Paint,basic,Day,,,170.68,59.86,
2,23,Cure Oven Conveyor,Paint,basic,Day,,,163.47,65.54,
2,24,Paint Inspection Booth,Paint,manual,Day,,,,64.13,True
2,25,Buff & Polish,Paint,basic,Day,,,,57.23,
2,26,Cockpit Marriage,Final Assembly,rich,Day,0.893,40.13,23.48,53.8,
2,27,Powertrain Marriage,Final Assembly,rich,Day,0.879,41.9,24.16,52.89,
2,28,Wheel & Tire Mount,Final Assembly,rich,Day,1.083,39.11,23.81,53.35,
2,29,Interior Trim 1,Final Assembly,basic,Day,,,,50.2,
2,30,Interior Trim Fit Check,Final Assembly,manual,Day,,,,56.09,True
2,31,Glass Install,Final Assembly,rich,Day,0.98,40.18,24.1,54.96,
2,32,Seat Install,Final Assembly,basic,Day,,,,52.92,
2,33,Fluid Fill,Final Assembly,rich,Day,0.907,42.42,24.27,53.01,
2,34,Wheel Alignment,Final Assembly,rich,Day,0.83,38.98,24.77,53.26,
2,35,Headlamp Aim,Final Assembly,rich,Day,0.908,39.45,23.47,54.24,
2,36,Electrical Function Test,Final Assembly,rich,Day,1.005,39.37,23.89,53.24,
2,37,Door/Panel Gap Scan,Final Assembly,rich,Day,0.913,37.45,23.89,52.98,
2,38,Water Leak Test,Final Assembly,rich,Day,1.006,38.77,24.28,51.87,
2,39,Road Simulation Test,Final Assembly,rich,Day,0.862,39.04,24.09,56.01,
2,40,Final Inspection & Buyoff,Final Assembly,rich,Day,0.781,40.74,24.97,53.36,
3,1,Underbody Framing,Body Construction,rich,Day,0.775,40.51,23.4,56.66,
3,2,Side Panel Load,Body Construction,rich,Day,1.054,38.55,24.52,54.98,
3,3,Robotic Weld Cell A,Body Construction,rich,Day,0.931,40.89,24.94,59.88,
3,4,Robotic Weld Cell B,Body Construction,rich,Day,0.829,37.83,24.02,56.67,
3,5,Roof Bow Fit,Body Construction,rich,Day,1.015,38.49,23.59,59.79,
3,6,Door Hang,Body Construction,rich,Day,0.935,39.67,24.1,56.1,
3,7,Bolt Fastening Torque,Body Construction,rich,Day,0.895,44.67,24.1,57.59,
3,8,Geometry Check,Body Construction,rich,Day,0.96,42.99,24.28,56.88,
3,9,Robotic Weld Cell C,Body Construction,rich,Day,0.698,40.62,23.07,57.14,
3,10,Sealer Application,Body Construction,rich,Day,1.003,41.13,23.93,54.42,
3,11,Body Squareness Gauge,Body Construction,basic,Day,,,,53.86,
3,12,Weld Arm Bearing Station,Body Construction,rich,Day,1.096,43.61,24.1,56.08,
3,13,Panel Fit Inspection,Body Construction,manual,Day,,,,55.59,True
3,14,Hem Flange Press,Body Construction,basic,Day,,,,56.94,
3,15,Body-in-White Buyoff,Body Construction,manual,Day,,,,56.71,True
3,16,Pretreatment Dip,Paint,basic,Day,,,161.2,62.8,
3,17,E-Coat Bath,Paint,rich,Day,1.028,,168.58,64.83,
3,18,Sealer Booth,Paint,manual,Day,,,,61.59,True
3,19,Primer Booth,Paint,rich,Day,0.853,,163.88,62.29,
3,20,Basecoat Robot,Paint,rich,Day,0.727,,167.62,59.91,
3,21,Clearcoat Robot,Paint,rich,Day,0.926,,168.31,62.17,
3,22,Flash-Off Tunnel,Paint,basic,Day,,,162.41,59.02,
3,23,Cure Oven Conveyor,Paint,basic,Day,,,166.29,62.92,
3,24,Paint Inspection Booth,Paint,manual,Day,,,,61.79,True
3,25,Buff & Polish,Paint,basic,Day,,,,62.99,
3,26,Cockpit Marriage,Final Assembly,rich,Day,0.788,41.29,24.22,51.25,
3,27,Powertrain Marriage,Final Assembly,rich,Day,1.062,40.96,24.64,50.06,
3,28,Wheel & Tire Mount,Final Assembly,rich,Day,0.865,38.2,25.22,52.69,
3,29,Interior Trim 1,Final Assembly,basic,Day,,,,53.05,
3,30,Interior Trim Fit Check,Final Assembly,manual,Day,,,,56.12,True
3,31,Glass Install,Final Assembly,rich,Day,0.699,39.39,24.47,53.65,
3,32,Seat Install,Final Assembly,basic,Day,,,,51.18,
3,33,Fluid Fill,Final Assembly,rich,Day,0.94,38.33,23.76,55.23,
3,34,Wheel Alignment,Final Assembly,rich,Day,0.894,39.14,23.6,52.56,
3,35,Headlamp Aim,Final Assembly,rich,Day,0.777,37.94,23.98,52.83,
3,36,Electrical Function Test,Final Assembly,rich,Day,0.716,40.01,23.69,54.9,
3,37,Door/Panel Gap Scan,Final Assembly,rich,Day,1.002,39.17,24.72,51.66,
3,38,Water Leak Test,Final Assembly,rich,Day,0.946,39.64,23.64,52.0,
3,39,Road Simulation Test,Final Assembly,rich,Day,0.881,40.97,23.98,54.38,
3,40,Final Inspection & Buyoff,Final Assembly,rich,Day,0.888,40.08,24.46,51.47,
4,1,Underbody Framing,Body Construction,rich,Day,0.895,37.24,24.31,55.35,
4,2,Side Panel Load,Body Construction,rich,Day,0.683,39.91,24.53,55.03,
4,3,Robotic Weld Cell A,Body Construction,rich,Day,0.769,38.81,23.46,54.2,
4,4,Robotic Weld Cell B,Body Construction,rich,Day,0.803,38.85,24.28,57.75,
4,5,Roof Bow Fit,Body Construction,rich,Day,0.952,38.45,23.42,55.63,
4,6,Door Hang,Body Construction,rich,Day,1.123,39.49,24.12,53.63,
4,7,Bolt Fastening Torque,Body Construction,rich,Day,0.906,45.18,24.92,56.98,
4,8,Geometry Check,Body Construction,rich,Day,0.713,38.38,23.36,55.11,
4,9,Robotic Weld Cell C,Body Construction,rich,Day,0.998,38.46,23.33,58.43,
4,10,Sealer Application,Body Construction,rich,Day,1.067,35.49,24.25,56.38,
4,11,Body Squareness Gauge,Body Construction,basic,Day,,,,55.04,
4,12,Weld Arm Bearing Station,Body Construction,rich,Day,0.957,37.59,23.53,58.54,
4,13,Panel Fit Inspection,Body Construction,manual,Day,,,,59.62,True
4,14,Hem Flange Press,Body Construction,basic,Day,,,,56.29,
4,15,Body-in-White Buyoff,Body Construction,manual,Day,,,,55.42,True
4,16,Pretreatment Dip,Paint,basic,Day,,,164.9,61.76,
4,17,E-Coat Bath,Paint,rich,Day,0.889,,161.3,62.39,
4,18,Sealer Booth,Paint,manual,Day,,,,62.42,True
4,19,Primer Booth,Paint,rich,Day,1.124,,164.55,65.19,
4,20,Basecoat Robot,Paint,rich,Day,0.892,,162.99,61.0,
4,21,Clearcoat Robot,Paint,rich,Day,0.893,,161.56,61.05,
4,22,Flash-Off Tunnel,Paint,basic,Day,,,164.66,63.8,
4,23,Cure Oven Conveyor,Paint,basic,Day,,,164.4,63.07,
4,24,Paint Inspection Booth,Paint,manual,Day,,,,61.08,True
4,25,Buff & Polish,Paint,basic,Day,,,,62.08,
4,26,Cockpit Marriage,Final Assembly,rich,Day,0.928,39.99,23.35,52.41,
4,27,Powertrain Marriage,Final Assembly,rich,Day,0.739,39.01,23.86,53.48,
4,28,Wheel & Tire Mount,Final Assembly,rich,Day,0.911,40.24,23.92,49.75,
4,29,Interior Trim 1,Final Assembly,basic,Day,,,,52.62,
4,30,Interior Trim Fit Check,Final Assembly,manual,Day,,,,52.71,True
4,31,Glass Install,Final Assembly,rich,Day,0.834,40.15,23.42,52.89,
4,32,Seat Install,Final Assembly,basic,Day,,,,53.77,
4,33,Fluid Fill,Final Assembly,rich,Day,0.883,39.3,24.27,53.61,
4,34,Wheel Alignment,Final Assembly,rich,Day,0.955,40.39,24.14,50.46,
4,35,Headlamp Aim,Final Assembly,rich,Day,0.822,39.58,24.31,54.03,
4,36,Electrical Function Test,Final Assembly,rich,Day,0.925,37.58,24.26,54.11,
4,37,Door/Panel Gap Scan,Final Assembly,rich,Day,1.021,40.37,23.25,55.39,
4,38,Water Leak Test,Final Assembly,rich,Day,0.882,35.95,24.18,55.0,
4,39,Road Simulation Test,Final Assembly,rich,Day,0.744,38.98,24.61,50.76,
4,40,Final Inspection & Buyoff,Final Assembly,rich,Day,0.933,42.8,24.77,52.71,
5,1,Underbody Framing,Body Construction,rich,Day,0.871,37.98,23.67,56.85,
5,2,Side Panel Load,Body Construction,rich,Day,0.947,40.18,24.48,57.83,
5,3,Robotic Weld Cell A,Body Construction,rich,Day,0.893,41.17,24.28,55.6,
5,4,Robotic Weld Cell B,Body Construction,rich,Day,0.948,39.5,24.17,59.03,
5,5,Roof Bow Fit,Body Construction,rich,Day,0.703,40.93,23.97,55.18,
5,6,Door Hang,Body Construction,rich,Day,0.696,39.42,23.71,57.61,
5,7,Bolt Fastening Torque,Body Construction,rich,Day,0.86,42.52,24.43,55.43,
5,8,Geometry Check,Body Construction,rich,Day,0.828,39.98,24.36,57.75,
5,9,Robotic Weld Cell C,Body Construction,rich,Day,0.885,40.87,24.33,51.91,
5,10,Sealer Application,Body Construction,rich,Day,1.036,40.5,24.14,60.2,
5,11,Body Squareness Gauge,Body Construction,basic,Day,,,,58.5,
5,12,Weld Arm Bearing Station,Body Construction,rich,Day,1.136,43.13,23.92,56.02,
5,13,Panel Fit Inspection,Body Construction,manual,Day,,,,56.95,True
5,14,Hem Flange Press,Body Construction,basic,Day,,,,59.54,
5,15,Body-in-White Buyoff,Body Construction,manual,Day,,,,56.98,True
5,16,Pretreatment Dip,Paint,basic,Day,,,164.39,60.59,
5,17,E-Coat Bath,Paint,rich,Day,0.994,,168.45,62.16,
5,18,Sealer Booth,Paint,manual,Day,,,,59.48,True
5,19,Primer Booth,Paint,rich,Day,0.821,,159.98,63.25,
5,20,Basecoat Robot,Paint,rich,Day,0.959,,166.63,64.68,
5,21,Clearcoat Robot,Paint,rich,Day,1.023,,164.21,61.59,
5,22,Flash-Off Tunnel,Paint,basic,Day,,,161.99,64.8,
5,23,Cure Oven Conveyor,Paint,basic,Day,,,165.68,60.82,
5,24,Paint Inspection Booth,Paint,manual,Day,,,,61.13,True
5,25,Buff & Polish,Paint,basic,Day,,,,63.09,
5,26,Cockpit Marriage,Final Assembly,rich,Day,0.909,39.44,24.44,51.75,
5,27,Powertrain Marriage,Final Assembly,rich,Day,0.847,41.94,25.07,52.26,
5,28,Wheel & Tire Mount,Final Assembly,rich,Day,0.908,40.35,24.74,56.84,
5,29,Interior Trim 1,Final Assembly,basic,Day,,,,53.14,
5,30,Interior Trim Fit Check,Final Assembly,manual,Day,,,,51.66,True
5,31,Glass Install,Final Assembly,rich,Day,0.801,37.37,23.31,54.15,
5,32,Seat Install,Final Assembly,basic,Day,,,,54.52,
5,33,Fluid Fill,Final Assembly,rich,Day,0.883,40.34,24.3,52.04,
5,34,Wheel Alignment,Final Assembly,rich,Day,0.96,38.58,23.83,52.78,
5,35,Headlamp Aim,Final Assembly,rich,Day,1.036,39.96,23.65,51.58,
5,36,Electrical Function Test,Final Assembly,rich,Day,0.873,41.12,23.23,52.75,
5,37,Door/Panel Gap Scan,Final Assembly,rich,Day,0.855,44.05,24.46,51.56,
5,38,Water Leak Test,Final Assembly,rich,Day,0.985,43.29,23.89,53.17,
5,39,Road Simulation Test,Final Assembly,rich,Day,1.045,40.79,24.32,52.72,
5,40,Final Inspection & Buyoff,Final Assembly,rich,Day,1.131,42.74,24.27,52.48,
6,1,Underbody Framing,Body Construction,rich,Day,0.657,41.02,23.91,58.31,
6,2,Side Panel Load,Body Construction,rich,Day,0.982,39.45,23.19,57.85,
6,3,Robotic Weld Cell A,Body Construction,rich,Day,0.811,39.47,23.71,57.72,
6,4,Robotic Weld Cell B,Body Construction,rich,Day,0.623,41.95,24.12,56.4,
6,5,Roof Bow Fit,Body Construction,rich,Day,1.138,40.04,23.13,59.11,
6,6,Door Hang,Body Construction,rich,Day,0.755,39.2,24.04,55.38,
6,7,Bolt Fastening Torque,Body Construction,rich,Day,0.719,45.38,24.14,53.32,
6,8,Geometry Check,Body Construction,rich,Day,0.862,39.88,23.74,56.84,
6,9,Robotic Weld Cell C,Body Construction,rich,Day,0.698,39.95,24.89,55.9,
6,10,Sealer Application,Body Construction,rich,Day,1.059,41.13,23.68,60.72,
6,11,Body Squareness Gauge,Body Construction,basic,Day,,,,59.72,
6,12,Weld Arm Bearing Station,Body Construction,rich,Day,0.956,40.15,23.79,56.91,
6,13,Panel Fit Inspection,Body Construction,manual,Day,,,,56.88,True
6,14,Hem Flange Press,Body Construction,basic,Day,,,,56.34,
6,15,Body-in-White Buyoff,Body Construction,manual,Day,,,,61.28,True
6,16,Pretreatment Dip,Paint,basic,Day,,,166.76,62.07,
6,17,E-Coat Bath,Paint,rich,Day,0.766,,164.32,64.0,
6,18,Sealer Booth,Paint,manual,Day,,,,64.43,True
6,19,Primer Booth,Paint,rich,Day,1.086,,162.76,62.81,
6,20,Basecoat Robot,Paint,rich,Day,0.838,,169.92,62.73,
6,21,Clearcoat Robot,Paint,rich,Day,0.82,,163.25,58.58,
6,22,Flash-Off Tunnel,Paint,basic,Day,,,167.0,63.91,
6,23,Cure Oven Conveyor,Paint,basic,Day,,,159.81,65.41,
6,24,Paint Inspection Booth,Paint,manual,Day,,,,64.09,True
6,25,Buff & Polish,Paint,basic,Day,,,,61.2,
6,26,Cockpit Marriage,Final Assembly,rich,Day,0.79,36.68,23.82,54.3,
6,27,Powertrain Marriage,Final Assembly,rich,Day,0.822,40.59,24.15,50.75,
6,28,Wheel & Tire Mount,Final Assembly,rich,Day,0.876,37.55,23.64,56.12,
6,29,Interior Trim 1,Final Assembly,basic,Day,,,,51.76,
6,30,Interior Trim Fit Check,Final Assembly,manual,Day,,,,51.24,True
6,31,Glass Install,Final Assembly,rich,Day,0.663,41.12,23.95,52.24,
6,32,Seat Install,Final Assembly,basic,Day,,,,53.98,
6,33,Fluid Fill,Final Assembly,rich,Day,0.976,40.06,24.59,53.54,
6,34,Wheel Alignment,Final Assembly,rich,Day,0.947,40.66,23.3,54.1,
6,35,Headlamp Aim,Final Assembly,rich,Day,0.869,40.33,23.35,53.07,
6,36,Electrical Function Test,Final Assembly,rich,Day,0.913,38.06,23.18,56.2,
6,37,Door/Panel Gap Scan,Final Assembly,rich,Day,0.889,38.85,24.04,52.87,
6,38,Water Leak Test,Final Assembly,rich,Day,0.966,38.84,23.98,52.24,
6,39,Road Simulation Test,Final Assembly,rich,Day,1.209,38.39,23.78,55.06,
6,40,Final Inspection & Buyoff,Final Assembly,rich,Day,0.994,38.16,23.77,51.9,
7,1,Underbody Framing,Body Construction,rich,Day,0.783,38.47,23.77,56.98,
7,2,Side Panel Load,Body Construction,rich,Day,0.727,39.34,24.07,53.13,
7,3,Robotic Weld Cell A,Body Construction,rich,Day,0.687,39.26,24.38,56.69,
7,4,Robotic Weld Cell B,Body Construction,rich,Day,0.891,38.58,24.3,58.07,
7,5,Roof Bow Fit,Body Construction,rich,Day,0.76,38.72,24.7,55.96,
7,6,Door Hang,Body Construction,rich,Day,1.039,39.23,24.45,57.45,
7,7,Bolt Fastening Torque,Body Construction,rich,Day,1.198,44.83,24.37,55.92,
7,8,Geometry Check,Body Construction,rich,Day,0.89,40.52,24.58,56.11,
7,9,Robotic Weld Cell C,Body Construction,rich,Day,0.691,39.55,24.01,56.13,
7,10,Sealer Application,Body Construction,rich,Day,1.058,40.51,24.39,57.24,
7,11,Body Squareness Gauge,Body Construction,basic,Day,,,,54.99,
7,12,Weld Arm Bearing Station,Body Construction,rich,Day,1.116,40.41,24.07,59.49,
7,13,Panel Fit Inspection,Body Construction,manual,Day,,,,60.36,True
7,14,Hem Flange Press,Body Construction,basic,Day,,,,56.83,
7,15,Body-in-White Buyoff,Body Construction,manual,Day,,,,57.9,True
7,16,Pretreatment Dip,Paint,basic,Day,,,166.01,61.67,
7,17,E-Coat Bath,Paint,rich,Day,0.914,,164.56,61.99,
7,18,Sealer Booth,Paint,manual,Day,,,,60.23,True
7,19,Primer Booth,Paint,rich,Day,0.784,,164.2,64.35,
7,20,Basecoat Robot,Paint,rich,Day,0.772,,165.6,63.92,
7,21,Clearcoat Robot,Paint,rich,Day,1.036,,172.63,60.4,
7,22,Flash-Off Tunnel,Paint,basic,Day,,,164.28,66.69,
7,23,Cure Oven Conveyor,Paint,basic,Day,,,165.4,64.07,
7,24,Paint Inspection Booth,Paint,manual,Day,,,,62.77,True
7,25,Buff & Polish,Paint,basic,Day,,,,59.87,
7,26,Cockpit Marriage,Final Assembly,rich,Day,0.894,42.25,24.09,55.2,
7,27,Powertrain Marriage,Final Assembly,rich,Day,0.933,41.18,24.02,52.19,
7,28,Wheel & Tire Mount,Final Assembly,rich,Day,0.837,36.59,24.43,54.21,
7,29,Interior Trim 1,Final Assembly,basic,Day,,,,54.58,
7,30,Interior Trim Fit Check,Final Assembly,manual,Day,,,,53.62,True
7,31,Glass Install,Final Assembly,rich,Day,0.845,38.87,23.91,55.16,
7,32,Seat Install,Final Assembly,basic,Day,,,,55.43,
7,33,Fluid Fill,Final Assembly,rich,Day,1.043,38.98,23.47,50.95,
7,34,Wheel Alignment,Final Assembly,rich,Day,0.888,37.92,23.83,55.55,
7,35,Headlamp Aim,Final Assembly,rich,Day,1.043,39.32,24.2,54.98,
7,36,Electrical Function Test,Final Assembly,rich,Day,0.823,40.57,23.98,54.6,
7,37,Door/Panel Gap Scan,Final Assembly,rich,Day,0.841,40.11,24.01,52.43,
7,38,Water Leak Test,Final Assembly,rich,Day,0.849,41.78,24.1,52.38,
7,39,Road Simulation Test,Final Assembly,rich,Day,1.044,40.94,25.09,54.9,
7,40,Final Inspection & Buyoff,Final Assembly,rich,Day,0.997,39.49,24.89,51.92,
8,1,Underbody Framing,Body Construction,rich,Day,0.665,38.45,24.32,60.2,
8,2,Side Panel Load,Body Construction,rich,Day,0.988,39.89,24.22,58.51,
8,3,Robotic Weld Cell A,Body Construction,rich,Day,0.891,41.64,22.92,58.25,
8,4,Robotic Weld Cell B,Body Construction,rich,Day,0.776,41.53,23.89,58.22,
8,5,Roof Bow Fit,Body Construction,rich,Day,0.945,38.54,23.56,55.39,
8,6,Door Hang,Body Construction,rich,Day,0.897,40.79,24.49,54.12,
8,7,Bolt Fastening Torque,Body Construction,rich,Day,0.902,46.15,23.96,56.78,
8,8,Geometry Check,Body Construction,rich,Day,1.027,39.45,23.88,58.11,
8,9,Robotic Weld Cell C,Body Construction,rich,Day,0.91,38.56,24.49,56.74,
8,10,Sealer Application,Body Construction,rich,Day,0.955,38.68,24.17,56.3,
8,11,Body Squareness Gauge,Body Construction,basic,Day,,,,57.77,
8,12,Weld Arm Bearing Station,Body Construction,rich,Day,1.056,42.84,24.46,57.07,
8,13,Panel Fit Inspection,Body Construction,manual,Day,,,,55.81,True
8,14,Hem Flange Press,Body Construction,basic,Day,,,,57.85,
8,15,Body-in-White Buyoff,Body Construction,manual,Day,,,,57.15,True
8,16,Pretreatment Dip,Paint,basic,Day,,,159.03,61.98,
8,17,E-Coat Bath,Paint,rich,Day,0.634,,166.23,62.1,
8,18,Sealer Booth,Paint,manual,Day,,,,61.08,True
8,19,Primer Booth,Paint,rich,Day,0.933,,160.27,62.11,
8,20,Basecoat Robot,Paint,rich,Day,0.772,,158.26,58.99,
8,21,Clearcoat Robot,Paint,rich,Day,1.091,,161.51,60.59,
8,22,Flash-Off Tunnel,Paint,basic,Day,,,160.47,63.89,
8,23,Cure Oven Conveyor,Paint,basic,Day,,,163.94,63.17,
8,24,Paint Inspection Booth,Paint,manual,Day,,,,62.44,True
8,25,Buff & Polish,Paint,basic,Day,,,,66.14,
8,26,Cockpit Marriage,Final Assembly,rich,Day,0.915,38.44,24.28,53.7,
8,27,Powertrain Marriage,Final Assembly,rich,Day,1.0,39.93,24.84,52.93,
8,28,Wheel & Tire Mount,Final Assembly,rich,Day,0.864,41.41,23.83,49.91,
8,29,Interior Trim 1,Final Assembly,basic,Day,,,,51.98,
8,30,Interior Trim Fit Check,Final Assembly,manual,Day,,,,52.9,True
8,31,Glass Install,Final Assembly,rich,Day,1.193,41.83,23.47,53.57,
8,32,Seat Install,Final Assembly,basic,Day,,,,51.84,
8,33,Fluid Fill,Final Assembly,rich,Day,1.021,38.69,23.67,52.66,
8,34,Wheel Alignment,Final Assembly,rich,Day,1.004,39.4,23.46,54.9,
8,35,Headlamp Aim,Final Assembly,rich,Day,0.816,36.43,24.36,50.66,
8,36,Electrical Function Test,Final Assembly,rich,Day,0.958,42.99,24.56,52.26,
8,37,Door/Panel Gap Scan,Final Assembly,rich,Day,1.004,41.85,23.64,51.36,
8,38,Water Leak Test,Final Assembly,rich,Day,0.887,37.44,24.71,51.7,
8,39,Road Simulation Test,Final Assembly,rich,Day,0.767,39.57,23.89,49.17,
8,40,Final Inspection & Buyoff,Final Assembly,rich,Day,0.933,39.66,24.55,53.65,
9,1,Underbody Framing,Body Construction,rich,Day,0.9,38.86,24.06,53.06,
9,2,Side Panel Load,Body Construction,rich,Day,0.791,38.97,24.38,57.45,
9,3,Robotic Weld Cell A,Body Construction,rich,Day,0.818,43.26,25.11,57.69,
9,4,Robotic Weld Cell B,Body Construction,rich,Day,0.936,44.01,24.38,54.32,
9,5,Roof Bow Fit,Body Construction,rich,Day,0.875,39.13,23.9,57.45,
9,6,Door Hang,Body Construction,rich,Day,0.989,39.36,23.79,56.02,
9,7,Bolt Fastening Torque,Body Construction,rich,Day,0.793,44.95,23.91,54.8,
9,8,Geometry Check,Body Construction,rich,Day,0.944,40.81,24.17,58.98,
9,9,Robotic Weld Cell C,Body Construction,rich,Day,0.885,39.51,24.36,57.15,
9,10,Sealer Application,Body Construction,rich,Day,1.061,40.05,23.64,55.02,
9,11,Body Squareness Gauge,Body Construction,basic,Day,,,,56.13,
9,12,Weld Arm Bearing Station,Body Construction,rich,Day,0.892,41.83,23.62,55.84,
9,13,Panel Fit Inspection,Body Construction,manual,Day,,,,52.81,True
9,14,Hem Flange Press,Body Construction,basic,Day,,,,53.3,
9,15,Body-in-White Buyoff,Body Construction,manual,Day,,,,56.97,True
9,16,Pretreatment Dip,Paint,basic,Day,,,160.59,63.88,
9,17,E-Coat Bath,Paint,rich,Day,1.113,,166.05,61.0,
9,18,Sealer Booth,Paint,manual,Day,,,,62.57,True
9,19,Primer Booth,Paint,rich,Day,1.056,,165.46,67.56,
9,20,Basecoat Robot,Paint,rich,Day,0.974,,162.98,63.28,
9,21,Clearcoat Robot,Paint,rich,Day,0.906,,161.87,60.4,
9,22,Flash-Off Tunnel,Paint,basic,Day,,,165.32,62.43,
9,23,Cure Oven Conveyor,Paint,basic,Day,,,162.19,67.34,
9,24,Paint Inspection Booth,Paint,manual,Day,,,,62.31,True
9,25,Buff & Polish,Paint,basic,Day,,,,63.45,
9,26,Cockpit Marriage,Final Assembly,rich,Day,0.841,38.69,23.21,55.18,
9,27,Powertrain Marriage,Final Assembly,rich,Day,0.964,40.07,23.51,51.75,
9,28,Wheel & Tire Mount,Final Assembly,rich,Day,0.904,40.81,23.72,52.71,
9,29,Interior Trim 1,Final Assembly,basic,Day,,,,52.92,
9,30,Interior Trim Fit Check,Final Assembly,manual,Day,,,,50.2,True
